DATE,PRCP,TMAX,TMIN
1895-07-01,0.15,77,57
1895-07-02,0,79,40
1895-07-03,0,84,49
1895-07-04,0,76,49
1895-07-05,0.01,77,60
1895-07-06,0,76,60
1895-07-07,0,86,62
1895-07-08,0,91,70
1895-07-09,0.8,83,68
1895-07-10,0.01,75,57
1895-07-11,0,77,49
1895-07-12,0,80,45
1895-07-13,0.16,74,54
1895-07-14,0.5,84,56
1895-07-15,0,74,48
1895-07-16,0,78,54
1895-07-17,0.1,68,57
1895-07-18,0,76,58
1895-07-19,0,80,60
1895-07-20,0,80,61
1895-07-21,0,89,61
1895-07-22,0.48,89,65
1895-07-23,0,80,62
1895-07-24,0,84,55
1895-07-25,0,84,58
1895-07-26,0,74,58
1895-07-27,0,76,50
1895-07-28,1.22,75,62
1895-07-29,0,78,52
1895-07-30,0.88,80,57
1895-07-31,0,74,48
1895-08-01,0,74,48
1895-08-02,0,75,52
1895-08-03,0.28,77,52
1895-08-04,0,78,58
1895-08-05,0,84,62
1895-08-06,0,80,56
1895-08-07,0,74,62
1895-08-08,0.17,82,63
1895-08-09,0,82,61
1895-08-10,0,82,59
1895-08-11,0,84,63
1895-08-12,0.14,68,62
1895-08-13,0.06,81,62
1895-08-14,0,82,57
1895-08-15,0,83,55
1895-08-16,0,81,60
1895-08-17,0,71,51
1895-08-18,1.5,76,56
1895-08-19,0,72,51
1895-08-20,0,74,52
1895-08-21,0,74,47
1895-08-22,0,74,44
1895-08-23,0,84,51
1895-08-24,0,90,63
1895-08-25,0,83,65
1895-08-26,0,82,53
1895-08-27,0,83,57
1895-08-28,0,84,57
1895-08-29,0.26,71,59
1895-08-30,0,76,51
1895-08-31,0,76,49
1895-09-01,0.41,74,51
1895-09-02,0,78,43
1895-09-03,0,81,43
1895-09-04,0,88,53
1895-09-05,0,85,42
1895-09-06,0,81,50
1895-09-07,0,74,47
1895-09-08,0,79,53
1895-09-09,0.05,84,33
1895-09-10,0,78,42
1895-09-11,0.57,81,43
1895-09-12,0.07,82,55
1895-09-13,0,80,43
1895-09-14,0,59,30
1895-09-15,0,63,36
1895-09-16,0,64,35
1895-09-17,0,79,44
1895-09-18,0.01,68,44
1895-09-19,0,72,47
1895-09-20,0,79,42
1895-09-21,0,95,56
1895-09-22,0,92,63
1895-09-23,0,95,59
1895-09-24,0,80,56
1895-09-25,0,74,38
1895-09-26,0.4,85,49
1895-09-27,0,74,55
1895-09-28,0,62,40
1895-09-29,0.5,71,45
1895-09-30,0,72,51
1895-10-01,0,57,37
1895-10-02,0,69,34
1895-10-03,0,71,34
1895-10-04,0,65,33
1895-10-05,0,64,42
1895-10-06,0,68,40
1895-10-07,0,70,37
1895-10-08,0.14,60,50
1895-10-09,0,54,31
1895-10-10,0,50,32
1895-10-11,0,58,28
1895-10-12,0,65,35
1895-10-13,4.14,60,49
1895-10-14,0,67,54
1895-10-15,0.06,53,30
1895-10-16,0,46,28
1895-10-17,0,57,31
1895-10-18,0,53,30
1895-10-19,0,67,32
1895-10-20,0,48,34
1895-10-21,0,44,27
1895-10-22,0,58,18
1895-10-23,0,55,38
1895-10-24,0,49,28
1895-10-25,0,58,28
1895-10-26,0,46,30
1895-10-27,0.13,69,32
1895-10-28,0,72,50
1895-10-29,0,48,30
1895-10-30,0,43,21
1895-10-31,0,44,22
1895-11-01,2.1,53,29
1895-11-02,0.4,42,31
1895-11-03,0,44,31
1895-11-04,0,52,28
1895-11-05,0,62,28
1895-11-06,0,69,34
1895-11-07,0,70,40
1895-11-08,0,72,42
1895-11-09,0.07,59,47
1895-11-10,0.1,49,39
1895-11-11,0,40,28
1895-11-12,0,43,22
1895-11-13,0,45,27
1895-11-14,0.09,45,31
1895-11-15,1.42,47,42
1895-11-16,0,50,35
1895-11-17,0.75,42,29
1895-11-18,0,52,32
1895-11-19,0.44,54,38
1895-11-20,0.34,54,41
1895-11-21,0,49,21
1895-11-22,0.1,27,14
1895-11-23,0.01,32,15
1895-11-24,0,36,32
1895-11-25,0.4,37,17
1895-11-26,1.13,63,30
1895-11-27,0,43,35
1895-11-28,0,49,20
1895-11-29,0,51,22
1895-11-30,0,47,24
1895-12-01,,36,15
1895-12-02,0.23,57,40
1895-12-03,,32,29
1895-12-04,,30,12
1895-12-05,,27,19
1895-12-06,,27,26
1895-12-07,,30,8
1895-12-08,,39,20
1895-12-09,,29,12
1895-12-10,,39,7
1895-12-11,,27,13
1895-12-12,,17,4
1895-12-13,,26,0
1895-12-14,,33,9
1895-12-15,,43,10
1895-12-16,,47,27
1895-12-17,,33,5
1895-12-18,,48,24
